lower,upper,DurCat,MSK1.Neck.NDI,MSK1.Neck.PI,MSK2.UpperExtremity.QDASH,MSK2.UpperExtremity.UE,MSK2.UpperExtremity.PENN,MSK3.Back.MDQ,MSK3.Back.PI,MSK4.LowerExtremity.LEFS,MSK4.LowerExtremity.PI,MSK4.LowerExtremity.HOOSJr,MSK5.Knee.KOS,MSK5.Knee.PF,MSK5.Knee.KOOSJr,MSK5.Knee.IKDC,MSK6.Neck.NPRS,MSK7.UpperExtremity.NPRS,MSK8.Back.NPRS,MSK9.LowerExtremity.NPRS,MSK10.Knee.NPRS
Missing,Missing,Missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,"[0,30]",0,0,-0.4211621996,0,-0.663,-0.3725916662,0,0,0,-0.309,-0.5169665054,0,-0.495,0,-0.474752071,-0.290960279,-0.4706003635,0,-0.415541451
31,90,"[31,90]",0.07409663711,0,-0.3946758458,0,-0.613,-0.3084780499,0.5390601841,-0.4026311851,0,0,-0.2664434945,0,-0.407,0.0624,-0.3469997805,0,-0.3754764311,-0.1601633522,-0.1720670746
91,365,"[91,365]",0.2773388475,0,-0.08777828301,0,-0.396,0,0,0.03345113401,0,0,-0.09813158472,0,-0.275,0.263,-0.1188612864,-0.1079531361,-0.1143422748,-0.0209614687,-0.03306531313
366,Infinity,"[366,Inf]",0.5818323048,0.09989644701,0.1848532227,0,0,0.3406332901,0.7712066636,0.3489829543,0.05634649563,0,0.2994263346,0.668194279,0,0.565,0.2401959281,0.05190061249,0.2202373883,0.1869809996,0.1052094518
