ADMIT_SCORE_NO,MSK1.Neck.NDI,MSK1.Neck.PI,MSK2.UpperExtremity.QDASH,MSK2.UpperExtremity.UE,MSK2.UpperExtremity.PENN,MSK3.Back.MDQ,MSK3.Back.PI,MSK4.LowerExtremity.LEFS,MSK4.LowerExtremity.PI,MSK4.LowerExtremity.HOOSJr,MSK5.Knee.KOS,MSK5.Knee.PF,MSK5.Knee.KOOSJr,MSK5.Knee.IKDC,MSK6.Neck.NPRS,MSK7.UpperExtremity.NPRS,MSK8.Back.NPRS,MSK9.LowerExtremity.NPRS,MSK10.Knee.NPRS
Missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.033957,-0.0996,0.038712,-0.064383,0.037,0.032822,0.0995,-0.044198,-0.0661,0.0663,-0.043685,-0.0851,0.0734,0.0372,0,0,0,0,0
2,0.067914,-0.1992,0.077424,-0.128766,0.074,0.065644,0.199,-0.088396,-0.1322,0.1326,-0.08737,-0.1702,0.1468,0.0744,0,0,0,0,0
3,0.101871,-0.2988,0.116136,-0.193149,0.111,0.098466,0.2985,-0.132594,-0.1983,0.1989,-0.131055,-0.2553,0.2202,0.1116,0,0,0,0,0
4,0.135828,-0.3984,0.154848,-0.257532,0.148,0.131288,0.398,-0.176792,-0.2644,0.2652,-0.17474,-0.3404,0.2936,0.1488,0,0,0,0,0
5,0.169785,-0.498,0.19356,-0.321915,0.185,0.16411,0.4975,-0.22099,-0.3305,0.3315,-0.218425,-0.4255,0.367,0.186,0,0,0,0,0
6,0.203742,-0.5976,0.232272,-0.386298,0.222,0.196932,0.597,-0.265188,-0.3966,0.3978,-0.26211,-0.5106,0.4404,0.2232,0,0,0,0,0
7,0.237699,-0.6972,0.270984,-0.450681,0.259,0.229754,0.6965,-0.309386,-0.4627,0.4641,-0.305795,-0.5957,0.5138,0.2604,0,0,0,0,0
8,0.271656,-0.7968,0.309696,-0.515064,0.296,0.262576,0.796,-0.353584,-0.5288,0.5304,-0.34948,-0.6808,0.5872,0.2976,0,0,0,0,0
